2026-01-03 20:12:23,128 INFO    MainThread:98882 [wandb_setup.py:_flush():80] Current SDK version is 0.23.1
2026-01-03 20:12:23,129 INFO    MainThread:98882 [wandb_setup.py:_flush():80] Configure stats pid to 98882
2026-01-03 20:12:23,129 INFO    MainThread:98882 [wandb_setup.py:_flush():80] Loading settings from /Users/aidanperuch/.config/wandb/settings
2026-01-03 20:12:23,129 INFO    MainThread:98882 [wandb_setup.py:_flush():80] Loading settings from /Users/aidanperuch/Code/five_hundred/wandb/settings
2026-01-03 20:12:23,129 INFO    MainThread:98882 [wandb_setup.py:_flush():80] Loading settings from environment variables
2026-01-03 20:12:23,129 INFO    MainThread:98882 [wandb_init.py:setup_run_log_directory():714] Logging user logs to /Users/aidanperuch/Code/five_hundred/wandb/offline-run-20260103_201223-ttlzu4mo/logs/debug.log
2026-01-03 20:12:23,129 INFO    MainThread:98882 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to /Users/aidanperuch/Code/five_hundred/wandb/offline-run-20260103_201223-ttlzu4mo/logs/debug-internal.log
2026-01-03 20:12:23,129 INFO    MainThread:98882 [wandb_init.py:init():841] calling init triggers
2026-01-03 20:12:23,129 INFO    MainThread:98882 [wandb_init.py:init():846] wandb.init called with sweep_config: {}
config: {'algo': 'PPO', 'num_envs': 10, 'steps_per_rollout': 128, 'total_timesteps': 1000000, 'lr': 0.00025, 'gamma': 0.99, '_wandb': {}}
2026-01-03 20:12:23,129 INFO    MainThread:98882 [wandb_init.py:init():889] starting backend
2026-01-03 20:12:23,469 INFO    MainThread:98882 [wandb_init.py:init():892] sending inform_init request
2026-01-03 20:12:23,496 INFO    MainThread:98882 [wandb_init.py:init():900] backend started and connected
2026-01-03 20:12:23,512 INFO    MainThread:98882 [wandb_init.py:init():970] updated telemetry
2026-01-03 20:12:23,534 INFO    MainThread:98882 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2026-01-03 20:12:23,635 INFO    MainThread:98882 [wandb_init.py:init():1041] starting run threads in backend
2026-01-03 20:12:23,831 INFO    MainThread:98882 [wandb_run.py:_console_start():2521] atexit reg
2026-01-03 20:12:23,831 INFO    MainThread:98882 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2026-01-03 20:12:23,831 INFO    MainThread:98882 [wandb_run.py:_redirect():2438] Wrapping output streams.
2026-01-03 20:12:23,831 INFO    MainThread:98882 [wandb_run.py:_redirect():2461] Redirects installed.
2026-01-03 20:12:23,833 INFO    MainThread:98882 [wandb_init.py:init():1081] run started, returning control to user process
2026-01-03 20:12:25,249 INFO    wandb-AsyncioManager-main:98882 [service_client.py:_forward_responses():80] Reached EOF.
2026-01-03 20:12:25,249 INFO    wandb-AsyncioManager-main:98882 [mailbox.py:close():137] Closing mailbox, abandoning 0 handles.
