Loading DQN checkpoint from pre_training/rules_bot/pretrained_agent.pth...
/Users/aidanperuch/Code/five_hundred/five_hundred/ppo_agent.py:303: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  dqn_checkpoint = torch.load(dqn_path, map_location=device)
Transferring shared trunk...
Transferring actor heads...
✅ Weight transfer complete!
⚠️  Critic heads initialized randomly (no DQN equivalent)
Update 1/7812: Reward=-215.030, SPS=30
Update 2/7812: Reward=-218.668, SPS=37
Update 3/7812: Reward=-235.812, SPS=50
Update 4/7812: Reward=-235.579, SPS=58
Update 5/7812: Reward=-123.803, SPS=66
Update 6/7812: Reward=-118.251, SPS=73
Update 7/7812: Reward=-212.770, SPS=78
Update 8/7812: Reward=-235.981, SPS=84
Update 9/7812: Reward=-176.706, SPS=89
Update 10/7812: Reward=-278.336, SPS=94
Update 11/7812: Reward=-277.919, SPS=98
Update 12/7812: Reward=-291.592, SPS=97
Update 13/7812: Reward=-295.899, SPS=99
Update 14/7812: Reward=-335.722, SPS=99
Update 15/7812: Reward=-307.420, SPS=101
Update 16/7812: Reward=-324.408, SPS=103
Update 17/7812: Reward=-349.330, SPS=105
Update 18/7812: Reward=-373.159, SPS=107
Update 19/7812: Reward=-357.928, SPS=108
Update 20/7812: Reward=-329.772, SPS=110
Update 21/7812: Reward=-333.618, SPS=111
Update 22/7812: Reward=-340.030, SPS=113
Update 23/7812: Reward=-359.191, SPS=114
Update 24/7812: Reward=-379.256, SPS=115
Update 25/7812: Reward=-374.634, SPS=117
Update 26/7812: Reward=-401.006, SPS=118
Update 27/7812: Reward=-395.467, SPS=119
Update 28/7812: Reward=-402.636, SPS=120
Update 29/7812: Reward=-400.739, SPS=121
Update 30/7812: Reward=-391.110, SPS=120
Update 31/7812: Reward=-339.245, SPS=121
Update 32/7812: Reward=-422.718, SPS=122
Update 33/7812: Reward=-389.266, SPS=123
Update 34/7812: Reward=-453.125, SPS=123
Update 35/7812: Reward=-446.547, SPS=124
Update 36/7812: Reward=-461.113, SPS=125
Update 37/7812: Reward=-481.452, SPS=126
Update 38/7812: Reward=-494.979, SPS=127
Update 39/7812: Reward=-482.011, SPS=127
Update 40/7812: Reward=-504.608, SPS=128
Update 41/7812: Reward=-548.921, SPS=129
Update 42/7812: Reward=-528.421, SPS=130
Update 43/7812: Reward=-533.286, SPS=130
Update 44/7812: Reward=-550.715, SPS=131
Update 45/7812: Reward=-560.479, SPS=132
Update 46/7812: Reward=-582.623, SPS=132
Update 47/7812: Reward=-606.877, SPS=133
Update 48/7812: Reward=-670.143, SPS=134
Update 49/7812: Reward=-627.091, SPS=134
Update 50/7812: Reward=-624.808, SPS=134
Update 51/7812: Reward=-641.033, SPS=134
Update 52/7812: Reward=-657.339, SPS=135
Update 53/7812: Reward=-656.274, SPS=135
Update 54/7812: Reward=-642.258, SPS=135
Update 55/7812: Reward=-673.247, SPS=135
Update 56/7812: Reward=-648.758, SPS=136
Update 57/7812: Reward=-693.312, SPS=136
Update 58/7812: Reward=-682.437, SPS=137
Update 59/7812: Reward=-643.659, SPS=137
Update 60/7812: Reward=-704.744, SPS=138
Update 61/7812: Reward=-727.176, SPS=138
Update 62/7812: Reward=-712.131, SPS=139
Update 63/7812: Reward=-670.646, SPS=139
Update 64/7812: Reward=-706.890, SPS=139
Update 65/7812: Reward=-711.993, SPS=140
Update 66/7812: Reward=-749.974, SPS=140
Update 67/7812: Reward=-715.914, SPS=140
Update 68/7812: Reward=-723.534, SPS=140
Update 69/7812: Reward=-722.065, SPS=140
Update 70/7812: Reward=-729.887, SPS=141
Update 71/7812: Reward=-729.419, SPS=141
Update 72/7812: Reward=-705.595, SPS=141
Update 73/7812: Reward=-753.969, SPS=142
Update 74/7812: Reward=-715.203, SPS=142
Update 75/7812: Reward=-731.086, SPS=142
Update 76/7812: Reward=-724.208, SPS=143
Update 77/7812: Reward=-731.262, SPS=143
Update 78/7812: Reward=-704.194, SPS=143
Update 79/7812: Reward=-718.662, SPS=144
Update 80/7812: Reward=-722.798, SPS=144
Update 81/7812: Reward=-719.933, SPS=144
Update 82/7812: Reward=-728.663, SPS=144
Update 83/7812: Reward=-732.435, SPS=145
Update 84/7812: Reward=-737.459, SPS=145
Update 85/7812: Reward=-738.515, SPS=145
Update 86/7812: Reward=-728.132, SPS=145
Update 87/7812: Reward=-741.274, SPS=146
Update 88/7812: Reward=-747.651, SPS=146
Update 89/7812: Reward=-757.836, SPS=146
Update 90/7812: Reward=-740.286, SPS=146
Update 91/7812: Reward=-721.989, SPS=146
Update 92/7812: Reward=-736.376, SPS=147
Update 93/7812: Reward=-741.242, SPS=147
Update 94/7812: Reward=-683.068, SPS=147
Update 95/7812: Reward=-710.891, SPS=147
Update 96/7812: Reward=-783.617, SPS=147
Update 97/7812: Reward=-742.126, SPS=147
Update 98/7812: Reward=-707.284, SPS=148
Update 99/7812: Reward=-718.511, SPS=148
Update 100/7812: Reward=-736.673, SPS=148
Update 101/7812: Reward=-668.276, SPS=148
Update 102/7812: Reward=-705.092, SPS=148
Update 103/7812: Reward=-744.575, SPS=149
Update 104/7812: Reward=-724.151, SPS=149
Update 105/7812: Reward=-691.708, SPS=149
Update 106/7812: Reward=-712.355, SPS=149
Update 107/7812: Reward=-735.147, SPS=149
Update 108/7812: Reward=-697.226, SPS=149
Update 109/7812: Reward=-706.657, SPS=149
Update 110/7812: Reward=-724.124, SPS=149
Update 111/7812: Reward=-731.798, SPS=150
Update 112/7812: Reward=-695.542, SPS=150
Update 113/7812: Reward=-707.271, SPS=150
Update 114/7812: Reward=-742.166, SPS=150
Update 115/7812: Reward=-703.002, SPS=150
Update 116/7812: Reward=-705.595, SPS=150
Update 117/7812: Reward=-719.875, SPS=150
Update 118/7812: Reward=-740.432, SPS=150
Update 119/7812: Reward=-725.277, SPS=150
Update 120/7812: Reward=-741.948, SPS=151
Update 121/7812: Reward=-738.542, SPS=151
Update 122/7812: Reward=-770.388, SPS=151
