Loading DQN checkpoint from pre_training/rules_bot/pretrained_agent.pth...
/Users/aidanperuch/Code/five_hundred/five_hundred/ppo_agent.py:303: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  dqn_checkpoint = torch.load(dqn_path, map_location=device)
Transferring shared trunk...
Transferring actor heads...
✅ Weight transfer complete!
⚠️  Critic heads initialized randomly (no DQN equivalent)
Update 1/7812: Reward=-210.227, SPS=24, OffWin=0.00, DefWin=0.00
Update 2/7812: Reward=-168.083, SPS=27, OffWin=0.20, DefWin=0.00
Update 3/7812: Reward=-220.419, SPS=35, OffWin=0.00, DefWin=0.00
Update 4/7812: Reward=-210.324, SPS=41, OffWin=0.33, DefWin=0.00
Update 5/7812: Reward=-238.832, SPS=48, OffWin=0.00, DefWin=0.00
Update 6/7812: Reward=-220.581, SPS=54, OffWin=0.00, DefWin=0.00
Update 7/7812: Reward=-180.287, SPS=59, OffWin=0.25, DefWin=0.00
Update 8/7812: Reward=-213.174, SPS=64, OffWin=0.00, DefWin=0.00
Update 9/7812: Reward=-248.540, SPS=69, OffWin=0.00, DefWin=0.00
Update 10/7812: Reward=-197.606, SPS=73, OffWin=0.17, DefWin=0.00
Update 11/7812: Reward=-155.370, SPS=76, OffWin=0.00, DefWin=0.00
Update 12/7812: Reward=-210.471, SPS=80, OffWin=0.00, DefWin=0.00
Update 13/7812: Reward=-290.409, SPS=83, OffWin=0.00, DefWin=0.00
Update 14/7812: Reward=-185.223, SPS=86, OffWin=0.20, DefWin=0.00
Update 15/7812: Reward=-41.518, SPS=88, OffWin=0.50, DefWin=0.00
Update 16/7812: Reward=-178.382, SPS=91, OffWin=0.25, DefWin=0.00
Update 17/7812: Reward=-225.273, SPS=92, OffWin=0.00, DefWin=0.00
Update 18/7812: Reward=-137.386, SPS=94, OffWin=0.20, DefWin=0.00
Update 19/7812: Reward=-173.754, SPS=97, OffWin=0.00, DefWin=0.00
Update 20/7812: Reward=-221.344, SPS=99, OffWin=0.00, DefWin=0.00
Update 21/7812: Reward=-109.203, SPS=101, OffWin=0.40, DefWin=0.00
Update 22/7812: Reward=-147.619, SPS=103, OffWin=0.00, DefWin=0.00
Update 23/7812: Reward=-108.209, SPS=105, OffWin=0.00, DefWin=0.00
Update 24/7812: Reward=-177.800, SPS=107, OffWin=0.25, DefWin=0.00
Update 25/7812: Reward=-164.561, SPS=108, OffWin=0.25, DefWin=0.00
Update 26/7812: Reward=-165.809, SPS=109, OffWin=0.20, DefWin=0.00
Update 27/7812: Reward=-164.539, SPS=110, OffWin=0.25, DefWin=0.00
Update 28/7812: Reward=-152.886, SPS=111, OffWin=0.50, DefWin=0.00
Update 29/7812: Reward=-196.510, SPS=112, OffWin=0.33, DefWin=0.00
Update 30/7812: Reward=-178.159, SPS=113, OffWin=0.33, DefWin=0.00
Update 31/7812: Reward=-207.268, SPS=114, OffWin=0.00, DefWin=0.00
Update 32/7812: Reward=-165.560, SPS=115, OffWin=0.00, DefWin=0.00
Update 33/7812: Reward=-243.073, SPS=116, OffWin=0.25, DefWin=0.00
Update 34/7812: Reward=-215.231, SPS=117, OffWin=0.25, DefWin=0.00
Update 35/7812: Reward=-222.043, SPS=117, OffWin=0.17, DefWin=0.00
Update 36/7812: Reward=-196.734, SPS=118, OffWin=0.40, DefWin=0.00
Update 37/7812: Reward=-233.225, SPS=119, OffWin=0.00, DefWin=0.00
Update 38/7812: Reward=-191.760, SPS=119, OffWin=0.33, DefWin=0.00
Update 39/7812: Reward=-224.643, SPS=120, OffWin=0.20, DefWin=0.00
Update 40/7812: Reward=-242.013, SPS=121, OffWin=0.20, DefWin=0.00
Update 41/7812: Reward=-186.959, SPS=121, OffWin=0.60, DefWin=0.00
Update 42/7812: Reward=-235.646, SPS=122, OffWin=0.38, DefWin=0.00
Update 43/7812: Reward=-175.245, SPS=122, OffWin=0.43, DefWin=0.00
Update 44/7812: Reward=-125.335, SPS=123, OffWin=0.50, DefWin=0.00
Update 45/7812: Reward=-106.269, SPS=124, OffWin=0.40, DefWin=0.00
Update 46/7812: Reward=-168.184, SPS=125, OffWin=0.25, DefWin=0.00
Update 47/7812: Reward=-236.198, SPS=125, OffWin=0.29, DefWin=0.00
Update 48/7812: Reward=-198.809, SPS=126, OffWin=0.00, DefWin=0.00
Update 49/7812: Reward=-219.140, SPS=127, OffWin=0.20, DefWin=0.00
Update 50/7812: Reward=-211.356, SPS=128, OffWin=0.33, DefWin=0.00
Update 51/7812: Reward=-227.662, SPS=128, OffWin=0.20, DefWin=0.00
Update 52/7812: Reward=-221.787, SPS=129, OffWin=0.20, DefWin=0.00
Update 53/7812: Reward=-235.132, SPS=130, OffWin=0.20, DefWin=0.00
Update 54/7812: Reward=-192.299, SPS=130, OffWin=0.40, DefWin=0.00
Update 55/7812: Reward=-201.677, SPS=131, OffWin=0.40, DefWin=0.00
Update 56/7812: Reward=-159.550, SPS=131, OffWin=0.50, DefWin=0.00
Update 57/7812: Reward=-236.097, SPS=132, OffWin=0.20, DefWin=0.00
Update 58/7812: Reward=-160.663, SPS=132, OffWin=0.60, DefWin=0.00
Update 59/7812: Reward=-159.450, SPS=133, OffWin=0.40, DefWin=0.00
